mode_index,true_k_r,A_signed,A_norm,recovered,peak_k,delta_k,merged_with_modes,status,f_hz,L_m,dr_name
102.0,0.7483041611478509,0.0005027278429140723,0.0005027278429140723,True,0.748979140629395,0.0006749794815440469,0,RESOLVED,201.0,1200.0,lam/4
103.0,0.747901246943668,0.0004965439358401794,0.0004965439358401794,False,,,0,MISSED,201.0,1200.0,lam/4
104.0,0.740110476307754,0.0004920026667750298,0.0004920026667750298,False,,,0,MISSED,201.0,1200.0,lam/4
0.0,0.8366563132639958,0.0006317230537136992,0.0006317230537136992,True,0.8353998107020174,0.001256502561978401,0,RESOLVED,201.0,2400.0,lam/4
1.0,0.8365332687295839,0.0011562464513905893,0.0011562464513905893,False,,,0,MISSED,201.0,2400.0,lam/4
2.0,0.8364104206148701,0.0018137187081807607,0.0018137187081807607,False,,,0,MISSED,201.0,2400.0,lam/4
3.0,0.8362877678495675,0.002368995900733445,0.002368995900733445,False,,,0,MISSED,201.0,2400.0,lam/4
4.0,0.8361653086417628,0.0024539683412567515,0.0024539683412567515,False,,,0,MISSED,201.0,2400.0,lam/4
5.0,0.8360430387428817,0.0018302305576292448,0.0018302305576292448,False,,,0,MISSED,201.0,2400.0,lam/4
6.0,0.8359209464019431,0.0007594356013170424,0.0007594356013170424,False,,,0,MISSED,201.0,2400.0,lam/4
7.0,0.8355551322105673,0.0011717519375436909,0.0011717519375436909,False,,,0,MISSED,201.0,2400.0,lam/4
8.0,0.8354327251213997,0.0014961425026822626,0.0014961425026822626,False,,,0,MISSED,201.0,2400.0,lam/4
9.0,0.8353094268352108,0.0008155334414009876,0.0008155334414009876,False,,,0,MISSED,201.0,2400.0,lam/4
10.0,0.8349288902019406,0.0009484541600739815,0.0009484541600739815,False,,,0,MISSED,201.0,2400.0,lam/4
11.0,0.8347973079094249,0.0013035024873705274,0.0013035024873705274,False,,,0,MISSED,201.0,2400.0,lam/4
12.0,0.8346631743569254,0.0009108079247060944,0.0009108079247060944,False,,,0,MISSED,201.0,2400.0,lam/4
13.0,0.8341027084127943,0.0008562345553687678,0.0008562345553687678,False,,,0,MISSED,201.0,2400.0,lam/4
14.0,0.8339571222464239,0.0011689564368750573,0.0011689564368750573,False,,,0,MISSED,201.0,2400.0,lam/4
15.0,0.8338095342447263,0.0010325838250362048,0.0010325838250362048,False,,,0,MISSED,201.0,2400.0,lam/4
16.0,0.8336600205125265,0.0005819735964497364,0.0005819735964497364,False,,,0,MISSED,201.0,2400.0,lam/4
17.0,0.8330439477356839,0.0006137308557690708,0.0006137308557690708,False,,,0,MISSED,201.0,2400.0,lam/4
18.0,0.832885679668682,0.0009620052847748809,0.0009620052847748809,False,,,0,MISSED,201.0,2400.0,lam/4
19.0,0.8327257964179359,0.0010621750068470263,0.0010621750068470263,False,,,0,MISSED,201.0,2400.0,lam/4
20.0,0.8325643337629997,0.0008743925134989418,0.0008743925134989418,False,,,0,MISSED,201.0,2400.0,lam/4
21.0,0.8324013245373121,0.00051233909399639,0.00051233909399639,False,,,0,MISSED,201.0,2400.0,lam/4
22.0,0.8315640663954357,0.0006905365081768331,0.0006905365081768331,False,,,0,MISSED,201.0,2400.0,lam/4
23.0,0.8313923436934003,0.0009246630212983642,0.0009246630212983642,False,,,0,MISSED,201.0,2400.0,lam/4
24.0,0.8312192474035012,0.0009655253812407367,0.0009655253812407367,False,,,0,MISSED,201.0,2400.0,lam/4
